pathway,metric,count,mae_mean_stabilized,mae_mean_unstabilized,mae_median_stabilized,mae_median_unstabilized,mae_std_stabilized,mae_std_unstabilized,mae_ci_low_stabilized,mae_ci_high_stabilized,mae_ci_low_unstabilized,mae_ci_high_unstabilized,delta_mae_mean,delta_mae_median,delta_mae_ci_low,delta_mae_ci_high,coverage_mean_stabilized,coverage_mean_unstabilized,coverage_std_stabilized,coverage_std_unstabilized,variance_mean_stabilized,variance_mean_unstabilized,export_timestamp
scene,valence,124,0.24445203713430028,0.2403125092771538,0.21628407861381088,0.22374040851827154,0.16294523181946655,0.16357434552015648,0.21594688008491364,0.27312537834572315,0.21256251690051842,0.2690368204439167,0.004139527857146491,0.007491140998561116,-0.003107123552784589,0.011701042955118571,nan,nan,nan,nan,nan,nan,20251005_161034
scene,arousal,124,0.4334015446927978,0.4324262454499769,0.44358625755291364,0.42463780727637207,0.19988570316344034,0.20137369947215203,0.3976516893852127,0.4684796651538526,0.3963121664786436,0.4675574480174778,0.0009752992428208783,-4.927563091394749e-06,-0.0046105267631857735,0.006468924541744913,nan,nan,nan,nan,nan,nan,20251005_161034
face,valence,124,0.2086033790839636,0.2083281042118618,0.18045178978732723,0.18239375525291557,0.143758026287842,0.1441398331310599,0.1849502833686464,0.2341407663887801,0.18343843343721483,0.2367245382807111,0.000275274872101803,0.0001307777754923356,7.726836937858134e-06,0.0005484403724892924,0.8605629735490116,0.8605629735490116,0.17068129919483743,0.17068129919483743,nan,nan,20251005_161034
face,arousal,124,0.16790081934337875,0.16781774650178477,0.15093692413774956,0.15164328663585847,0.11798115814013785,0.11789237951126025,0.14758557416382168,0.18949919359128678,0.1466047193492165,0.1885907927313841,8.3072841593993e-05,-5.294336138711442e-05,-0.00016206252555683217,0.00034316766871592233,0.8605629735490116,0.8605629735490116,0.17068129919483743,0.17068129919483743,nan,nan,20251005_161034
fusion,valence,124,0.21201192882838657,0.211292380388063,0.18371615928486434,0.18653261812132138,0.1417379955398629,0.14263277774515928,0.18604582416033247,0.23790261755859873,0.18705855314032324,0.23728292817026767,0.000719548440323573,0.000836739841006906,-0.0031326475611616086,0.00447332400961791,nan,nan,nan,nan,nan,nan,20251005_161034
fusion,arousal,124,0.2400460181989566,0.23613875734125822,0.24109896122986457,0.22880175499724406,0.163265901720348,0.1648189336651723,0.21050394932027952,0.2687771150360784,0.20693889923742098,0.2644471392329101,0.003907260857698407,0.0030776763192018053,-0.00013855714381166818,0.00768943103200147,nan,nan,nan,nan,nan,nan,20251005_161034
