pathway,metric,count,mae_mean_stabilized,mae_mean_unstabilized,mae_median_stabilized,mae_median_unstabilized,mae_std_stabilized,mae_std_unstabilized,mae_ci_low_stabilized,mae_ci_high_stabilized,mae_ci_low_unstabilized,mae_ci_high_unstabilized,delta_mae_mean,delta_mae_median,delta_mae_ci_low,delta_mae_ci_high,coverage_mean_stabilized,coverage_mean_unstabilized,coverage_std_stabilized,coverage_std_unstabilized,variance_mean_stabilized,variance_mean_unstabilized,export_timestamp
scene,valence,124,0.2601388759105284,0.2634136499541357,0.20940441084271766,0.20538982749058027,0.21249680766286222,0.21582629982048834,0.2229852674748057,0.2984344850778711,0.2266935629480372,0.3025955558733684,-0.003274774043607292,-0.0011813733997864118,-0.009069999678277678,0.002336244702085829,nan,nan,nan,nan,nan,nan,20251005_042301
scene,arousal,124,0.34572599316591096,0.3447962222351222,0.3578154204257839,0.3653879798966315,0.18070328608900083,0.17917937894825015,0.31444912489710686,0.37779896716292805,0.31244894986484795,0.37454279157121273,0.0009297709307888152,0.0035668876572685637,-0.005617621116085401,0.007693351006313491,nan,nan,nan,nan,nan,nan,20251005_042301
face,valence,124,0.20831881867059412,0.20839159120893605,0.18151328546854556,0.18041686934327236,0.14381389061159505,0.14390296963805702,0.1846651413463248,0.23404085628364005,0.18332912590590597,0.2368068625688281,-7.277253834192028e-05,-0.00012144695234322933,-0.00030815023083341443,0.00016180472636286977,0.8605629735490116,0.8605629735490116,0.17068129919483743,0.17068129919483743,nan,nan,20251005_042301
face,arousal,124,0.16807800483416427,0.16796614561271822,0.15072270983122896,0.14996263298187307,0.11789817746260953,0.1179660392015837,0.1479005847117142,0.18947782677542999,0.14684368306497955,0.18883242378560802,0.0001118592214460265,0.0001638199806530266,-0.00015139088390935283,0.00038464611560627443,0.8605629735490116,0.8605629735490116,0.17068129919483743,0.17068129919483743,nan,nan,20251005_042301
fusion,valence,124,0.22033441026804315,0.22193148270411245,0.1920050732658209,0.19025016657048316,0.1665360219050481,0.16770877996093309,0.19134211385151714,0.24911683402610227,0.19629370915894323,0.2520262050405924,-0.0015970724360692668,-0.0009415358226189663,-0.004593527562515606,0.0013079151563807998,nan,nan,nan,nan,nan,nan,20251005_042301
fusion,arousal,124,0.20843483190379364,0.20900923148458353,0.2069346950665097,0.1930512292295063,0.1420936518125826,0.14296105714738713,0.18333875182810314,0.23293646003744467,0.18336991274970446,0.23314245127386596,-0.000574399580789896,0.001034459912143848,-0.0041287795409760495,0.0027622538995379703,nan,nan,nan,nan,nan,nan,20251005_042301
