pathway,metric,count,mae_mean_stabilized,mae_mean_unstabilized,mae_median_stabilized,mae_median_unstabilized,mae_std_stabilized,mae_std_unstabilized,mae_ci_low_stabilized,mae_ci_high_stabilized,mae_ci_low_unstabilized,mae_ci_high_unstabilized,delta_mae_mean,delta_mae_median,delta_mae_ci_low,delta_mae_ci_high,coverage_mean_stabilized,coverage_mean_unstabilized,coverage_std_stabilized,coverage_std_unstabilized,variance_mean_stabilized,variance_mean_unstabilized,export_timestamp
scene,valence,124,0.23835289846969823,0.23908809417557045,0.22071460132138007,0.21656349810309794,0.17039782891476066,0.1716207559137011,0.21780249686757613,0.25424368704025907,0.21978555812491868,0.2684812629308469,-0.0007351957058722223,-0.001381403009956414,-0.003194697774955855,0.0017226544342490492,nan,nan,nan,nan,0.0010959216286719118,0.0010853033863320533,20251006_144126
scene,arousal,124,0.20325542534527227,0.20303080347769412,0.16169588667344412,0.16587610125805122,0.15218535136957398,0.15394912574295788,0.174145117045217,0.22777388737755294,0.17904716963215073,0.21541439776749854,0.00022462186757816474,-0.0007460975456923813,-0.00138490351271924,0.0010865066733335902,nan,nan,nan,nan,0.00018940910278958202,0.00018230963224709156,20251006_144126
face,valence,124,0.20835943793328457,0.20853306772373884,0.18085743748953304,0.1810809041223881,0.1438603571680545,0.14399489282394443,0.1887628475284115,0.2277434208799631,0.19044384841836592,0.2321291991569893,-0.00017362979045426383,-3.447910986562053e-05,-0.0004346875659015773,-1.9420417158155408e-05,0.8605629735490116,0.8605629735490116,0.17068129919483743,0.17068129919483743,0.00035905671017781793,0.0003585456428938655,20251006_144126
face,arousal,124,0.1681113602690821,0.1679982657888937,0.15226831696631699,0.1512836278220704,0.1178993320551611,0.11788278016715785,0.14964089548670953,0.19036553193477643,0.14828565669679353,0.18992084621554234,0.00011309448018841201,9.265012331197142e-05,5.660363406492578e-05,0.00032893278458245373,0.8605629735490116,0.8605629735490116,0.17068129919483743,0.17068129919483743,0.0003937263212258334,0.0003921600864575015,20251006_144126
fusion,valence,124,0.19285981419929757,0.19341838449818094,0.1817408116441469,0.180367392927384,0.1324518021247334,0.13172456651938183,0.18450390853370618,0.2203315559412151,0.18508016145866857,0.22069423389019588,-0.0005585702988833611,-0.0012577906705533437,-0.0033521361365365984,0.0026637792117789176,nan,nan,nan,nan,0.0002881769618175992,0.00029299699797771627,20251006_144126
fusion,arousal,124,0.1608292753984589,0.16054920110784138,0.12072443849170456,0.12411395376526213,0.12002532090044307,0.1212595611169033,0.1345186130080862,0.17378728357805928,0.15079097488442658,0.18436239504653945,0.0002800742906175002,-0.00039759875565601593,-0.0005642775540945923,0.002115805930926084,nan,nan,nan,nan,8.1591520281361e-05,8.180826415017213e-05,20251006_144126
